entities, mr_switch, mr_move, mr_create, result
10, 1, 10, 1, 101530
10, 1, 10, 2, 102573
10, 1, 13, 1, 102000
10, 1, 13, 2, 100598
10, 1, 16, 1, 103038
10, 1, 16, 2, 100224
10, 1, 19, 1, 100483
10, 1, 19, 2, 99866
10, 4, 10, 1, 102458
10, 4, 10, 2, 101487
10, 4, 13, 1, 100389
10, 4, 13, 2, 100542
10, 4, 16, 1, 98944
10, 4, 16, 2, 99914
10, 4, 19, 1, 98407
10, 4, 19, 2, 97926
10, 7, 10, 1, 97485
10, 7, 10, 2, 97895
10, 7, 13, 1, 99479
10, 7, 13, 2, 99013
10, 7, 16, 1, 97342
10, 7, 16, 2, 96917
10, 7, 19, 1, 97700
10, 7, 19, 2, 97265
30, 1, 10, 1, 107200
30, 1, 10, 2, 106010
30, 1, 13, 1, 105686
30, 1, 13, 2, 106740
30, 1, 16, 1, 105569
30, 1, 16, 2, 104865
30, 1, 19, 1, 104165
30, 1, 19, 2, 103310
30, 4, 10, 1, 104177
30, 4, 10, 2, 106764
30, 4, 13, 1, 103799
30, 4, 13, 2, 105042
30, 4, 16, 1, 103542
30, 4, 16, 2, 103917
30, 4, 19, 1, 104084
30, 4, 19, 2, 104850
30, 7, 10, 1, 104429
30, 7, 10, 2, 106060
30, 7, 13, 1, 104155
30, 7, 13, 2, 104864
30, 7, 16, 1, 105511
30, 7, 16, 2, 105692
30, 7, 19, 1, 102828
30, 7, 19, 2, 105791
50, 1, 10, 1, 113157
50, 1, 10, 2, 114460
50, 1, 13, 1, 110927
50, 1, 13, 2, 112697
50, 1, 16, 1, 112899
50, 1, 16, 2, 114215
50, 1, 19, 1, 115286
50, 1, 19, 2, 112214
50, 4, 10, 1, 113137
50, 4, 10, 2, 114846
50, 4, 13, 1, 114734
50, 4, 13, 2, 112929
50, 4, 16, 1, 112261
50, 4, 16, 2, 112857
50, 4, 19, 1, 113009
50, 4, 19, 2, 113589
50, 7, 10, 1, 113213
50, 7, 10, 2, 116581
50, 7, 13, 1, 112808
50, 7, 13, 2, 113348
50, 7, 16, 1, 113333
50, 7, 16, 2, 113643
50, 7, 19, 1, 112258
50, 7, 19, 2, 111977
